Data.File	Name	Acq..Date.Time	Pos.	Type	Vol.	Level	FWHM	Area	RT	SN_ratio	Calculated_Concentration	Compound	Time	SD	Mean	Upper	Lower	Warning	Deviation
QC_1.d	QC_1	11/7/23 16:10	Vial 1	Sample	0.2	0	0.064	772658	0.476	44061.94	2.1756	Pyridoxal	2	22272.1438709949	731956.117647059	914945.147058823	548967.088235294	No	0.0556069979765743
QC_2.d	QC_2	11/7/23 16:49	Vial 1	Sample	0.2	0	0.064	756189	0.476	40184.13	2.1293	Pyridoxal	12	22272.1438709949	731956.117647059	914945.147058823	548967.088235294	No	0.0331070152550129
QC_3.d	QC_3	11/7/23 17:17	Vial 1	Sample	0.2	0	0.064	760627	0.476	8909.64	2.1418	Pyridoxal	19	22272.1438709949	731956.117647059	914945.147058823	548967.088235294	No	0.0391702202655351
QC_4.d	QC_4	11/7/23 17:45	Vial 1	Sample	0.2	0	0.064	755707	0.476	42216.87	2.1279	Pyridoxal	26	22272.1438709949	731956.117647059	914945.147058823	548967.088235294	No	0.0324485058329598
QC_5.d	QC_5	11/7/23 18:17	Vial 1	Sample	0.2	0	0.064	749525	0.481	27146.37	2.1105	Pyridoxal	34	22272.1438709949	731956.117647059	914945.147058823	548967.088235294	No	0.0240026443243866
QC_6.d	QC_6	11/7/23 19:01	Vial 1	Sample	0.2	0	0.064	730850	0.481	71479.28	2.0579	Pyridoxal	44	22272.1438709949	731956.117647059	914945.147058823	548967.088235294	No	0.00151118027487019
QC_7.d	QC_7	11/7/23 19:28	Vial 1	Sample	0.2	0	0.064	729320	0.476	21805.8	2.0536	Pyridoxal	51	22272.1438709949	731956.117647059	914945.147058823	548967.088235294	No	0.00360146951914664
QC_8.d	QC_8	11/7/23 19:56	Vial 1	Sample	0.2	0	0.064	728106	0.476	34601.88	2.0502	Pyridoxal	58	22272.1438709949	731956.117647059	914945.147058823	548967.088235294	No	0.00526003889336339
QC_9.d	QC_9	11/7/23 20:28	Vial 1	Sample	0.2	0	0.064	749359	0.476	55450.29	2.11	Pyridoxal	66	22272.1438709949	731956.117647059	914945.147058823	548967.088235294	No	0.0237758547723932
QC_10.d	QC_10	11/7/23 21:08	Vial 1	Sample	0.2	0	0.064	725859	0.476	9132.08	2.0438	Pyridoxal	76	22272.1438709949	731956.117647059	914945.147058823	548967.088235294	No	0.00832989505799685
QC_11.d	QC_11	11/7/23 21:36	Vial 1	Sample	0.2	0	0.064	713653	0.476	106283.18	2.0095	Pyridoxal	83	22272.1438709949	731956.117647059	914945.147058823	548967.088235294	No	0.0250057581401135
QC_12.d	QC_12	11/7/23 22:03	Vial 1	Sample	0.2	0	0.064	714384	0.476	6281.74	2.0115	Pyridoxal	90	22272.1438709949	731956.117647059	914945.147058823	548967.088235294	No	0.0240070643900703
QC_13.d	QC_13	11/7/23 22:35	Vial 1	Sample	0.2	0	0.064	726547	0.476	48240.4	2.0458	Pyridoxal	98	22272.1438709949	731956.117647059	914945.147058823	548967.088235294	No	0.00738994799913267
QC_14.d	QC_14	11/7/23 23:19	Vial 1	Sample	0.2	0	0.064	687340	0.481	42378.76	1.9354	Pyridoxal	108	22272.1438709949	731956.117647059	914945.147058823	548967.088235294	No	0.0609546345353072
QC_15.d	QC_15	11/7/23 23:47	Vial 1	Sample	0.2	0	0.064	709427	0.476	172926.39	1.9976	Pyridoxal	115	22272.1438709949	731956.117647059	914945.147058823	548967.088235294	No	0.0307793283011019
QC_16.d	QC_16	11/8/23 0:15	Vial 1	Sample	0.2	0	0.064	714905	0.476	30854.79	2.013	Pyridoxal	122	22272.1438709949	731956.117647059	914945.147058823	548967.088235294	No	0.0232952730853199
QC_17.d	QC_17	11/8/23 0:47	Vial 1	Sample	0.2	0	0.064	718798	0.476	8	2.024	Pyridoxal	130	22272.1438709949	731956.117647059	914945.147058823	548967.088235294	No	0.0179766482304387
QC_1.d	QC_1	11/7/23 16:10	Vial 1	Sample	0.2	0	0.059	1273932	0.533	59817.65	2.268	Pyridoxine	2	22813.5845033109	1223877.52941176	1529846.91176471	917908.147058824	No	0.0408982675025441
QC_2.d	QC_2	11/7/23 16:49	Vial 1	Sample	0.2	0	0.059	1246062	0.533	153745.4	2.2184	Pyridoxine	12	22813.5845033109	1223877.52941176	1529846.91176471	917908.147058824	No	0.0181263811575148
QC_3.d	QC_3	11/7/23 17:17	Vial 1	Sample	0.2	0	0.06	1251308	0.533	152416.4	2.2278	Pyridoxine	19	22813.5845033109	1223877.52941176	1529846.91176471	917908.147058824	No	0.0224127577547887
QC_4.d	QC_4	11/7/23 17:45	Vial 1	Sample	0.2	0	0.06	1244994	0.533	64418.52	2.2165	Pyridoxine	26	22813.5845033109	1223877.52941176	1529846.91176471	917908.147058824	No	0.0172537448239486
QC_5.d	QC_5	11/7/23 18:17	Vial 1	Sample	0.2	0	0.06	1222939	0.533	46722.9	2.1772	Pyridoxine	34	22813.5845033109	1223877.52941176	1529846.91176471	917908.147058824	No	0.000766849124369415
QC_6.d	QC_6	11/7/23 19:01	Vial 1	Sample	0.2	0	0.06	1231019	0.533	116231.81	2.1916	Pyridoxine	44	22813.5845033109	1223877.52941176	1529846.91176471	917908.147058824	No	0.00583511864268609
QC_7.d	QC_7	11/7/23 19:28	Vial 1	Sample	0.2	0	0.06	1209844	0.533	154762.14	2.1539	Pyridoxine	51	22813.5845033109	1223877.52941176	1529846.91176471	917908.147058824	No	0.0114664491131803
QC_8.d	QC_8	11/7/23 19:56	Vial 1	Sample	0.2	0	0.061	1225554	0.533	95368.45	2.1819	Pyridoxine	58	22813.5845033109	1223877.52941176	1529846.91176471	917908.147058824	No	0.00136980257251798
QC_9.d	QC_9	11/7/23 20:28	Vial 1	Sample	0.2	0	0.06	1224482	0.533	107017.38	2.18	Pyridoxine	66	22813.5845033109	1223877.52941176	1529846.91176471	917908.147058824	No	0.000493897938076952
QC_10.d	QC_10	11/7/23 21:08	Vial 1	Sample	0.2	0	0.061	1223081	0.533	98561.4	2.1775	Pyridoxine	76	22813.5845033109	1223877.52941176	1529846.91176471	917908.147058824	No	0.000650824443314727
QC_11.d	QC_11	11/7/23 21:36	Vial 1	Sample	0.2	0	0.061	1196080	0.533	101584.21	2.1294	Pyridoxine	83	22813.5845033109	1223877.52941176	1529846.91176471	917908.147058824	No	0.0227126724232981
QC_12.d	QC_12	11/7/23 22:03	Vial 1	Sample	0.2	0	0.061	1193909	0.533	265326.35	2.1256	Pyridoxine	90	22813.5845033109	1223877.52941176	1529846.91176471	917908.147058824	No	0.0244865427230849
QC_13.d	QC_13	11/7/23 22:35	Vial 1	Sample	0.2	0	0.061	1228767	0.533	60135.38	2.1876	Pyridoxine	98	22813.5845033109	1223877.52941176	1529846.91176471	917908.147058824	No	0.00399506525018498
QC_14.d	QC_14	11/7/23 23:19	Vial 1	Sample	0.2	0	0.061	1200294	0.533	137559.8	2.1369	Pyridoxine	108	22813.5845033109	1223877.52941176	1529846.91176471	917908.147058824	No	0.0192695174517174
QC_15.d	QC_15	11/7/23 23:47	Vial 1	Sample	0.2	0	0.061	1184462	0.533	93025.96	2.1087	Pyridoxine	115	22813.5845033109	1223877.52941176	1529846.91176471	917908.147058824	No	0.0322054523140965
QC_16.d	QC_16	11/8/23 0:15	Vial 1	Sample	0.2	0	0.061	1218543	0.533	79828.82	2.1694	Pyridoxine	122	22813.5845033109	1223877.52941176	1529846.91176471	917908.147058824	No	0.00435871178575258
QC_17.d	QC_17	11/8/23 0:47	Vial 1	Sample	0.2	0	0.061	1230648	0.533	111666.93	2.191	Pyridoxine	130	22813.5845033109	1223877.52941176	1529846.91176471	917908.147058824	No	0.00553198373655025
QC_1.d	QC_1	11/7/23 16:10	Vial 1	Sample	0.2	0	0.045	248822	0.907	12830.9	5.1756	Dopamine	2	5973.12770074538	251025.823529412	313782.279411765	188269.367647059	No	0.00877927018991958
QC_2.d	QC_2	11/7/23 16:49	Vial 1	Sample	0.2	0	0.045	253992	0.907	18824.24	5.2831	Dopamine	12	5973.12770074538	251025.823529412	313782.279411765	188269.367647059	No	0.0118162204544692
QC_3.d	QC_3	11/7/23 17:17	Vial 1	Sample	0.2	0	0.045	249328	0.907	11867.85	5.1861	Dopamine	19	5973.12770074538	251025.823529412	313782.279411765	188269.367647059	No	0.0067635413183411
QC_4.d	QC_4	11/7/23 17:45	Vial 1	Sample	0.2	0	0.045	237375	0.907	10633.71	4.9374	Dopamine	26	5973.12770074538	251025.823529412	313782.279411765	188269.367647059	No	0.0543801563420122
QC_5.d	QC_5	11/7/23 18:17	Vial 1	Sample	0.2	0	0.046	251351	0.912	13939.05	5.2282	Dopamine	34	5973.12770074538	251025.823529412	313782.279411765	188269.367647059	No	0.00129539051407643
QC_6.d	QC_6	11/7/23 19:01	Vial 1	Sample	0.2	0	0.046	245392	0.912	18719.68	5.1042	Dopamine	44	5973.12770074538	251025.823529412	313782.279411765	188269.367647059	No	0.0224432030545721
QC_7.d	QC_7	11/7/23 19:28	Vial 1	Sample	0.2	0	0.046	244014	0.907	12666.97	5.0755	Dopamine	51	5973.12770074538	251025.823529412	313782.279411765	188269.367647059	No	0.0279326781238115
QC_8.d	QC_8	11/7/23 19:56	Vial 1	Sample	0.2	0	0.046	249763	0.912	14753.3	5.1951	Dopamine	58	5973.12770074538	251025.823529412	313782.279411765	188269.367647059	No	0.00503065187340703
QC_9.d	QC_9	11/7/23 20:28	Vial 1	Sample	0.2	0	0.046	243889	0.907	3962.88	5.0729	Dopamine	66	5973.12770074538	251025.823529412	313782.279411765	188269.367647059	No	0.0284306348608616
QC_10.d	QC_10	11/7/23 21:08	Vial 1	Sample	0.2	0	0.046	253364	0.907	33381.08	5.2701	Dopamine	76	5973.12770074538	251025.823529412	313782.279411765	188269.367647059	No	0.00931448580752995
QC_11.d	QC_11	11/7/23 21:36	Vial 1	Sample	0.2	0	0.046	258469	0.912	25092.57	5.3763	Dopamine	83	5973.12770074538	251025.823529412	313782.279411765	188269.367647059	No	0.0296510389486528
QC_12.d	QC_12	11/7/23 22:03	Vial 1	Sample	0.2	0	0.046	257697	0.907	19162.92	5.3602	Dopamine	90	5973.12770074538	251025.823529412	313782.279411765	188269.367647059	No	0.0265756581406318
QC_13.d	QC_13	11/7/23 22:35	Vial 1	Sample	0.2	0	0.046	255932	0.907	11224.89	5.3235	Dopamine	98	5973.12770074538	251025.823529412	313782.279411765	188269.367647059	No	0.0195445090134856
QC_14.d	QC_14	11/7/23 23:19	Vial 1	Sample	0.2	0	0.046	255104	0.912	20424.51	5.3062	Dopamine	108	5973.12770074538	251025.823529412	313782.279411765	188269.367647059	No	0.0162460435872662
QC_15.d	QC_15	11/7/23 23:47	Vial 1	Sample	0.2	0	0.046	248869	0.907	4520.13	5.1766	Dopamine	115	5973.12770074538	251025.823529412	313782.279411765	188269.367647059	No	0.00859203845678877
QC_16.d	QC_16	11/8/23 0:15	Vial 1	Sample	0.2	0	0.047	259425	0.907	33535.35	5.3961	Dopamine	122	5973.12770074538	251025.823529412	313782.279411765	188269.367647059	No	0.0334594120736113
QC_17.d	QC_17	11/8/23 0:47	Vial 1	Sample	0.2	0	0.046	254653	0.907	13046.82	5.2969	Dopamine	130	5973.12770074538	251025.823529412	313782.279411765	188269.367647059	No	0.0144494156799898
QC_1.d	QC_1	11/7/23 16:10	Vial 1	Sample	0.2	0	0.055	1056619	1.189	8	99.5069	Leucine	2	6029.10692952506	1053378.64705882	1316723.30882353	790033.985294118	No	0.00307615210373202
QC_2.d	QC_2	11/7/23 16:49	Vial 1	Sample	0.2	0	0.055	1055504	1.189	8	99.3842	Leucine	12	6029.10692952506	1053378.64705882	1316723.30882353	790033.985294118	No	0.00201765333587373
QC_3.d	QC_3	11/7/23 17:17	Vial 1	Sample	0.2	0	0.055	1057990	1.189	142830.6	99.6578	Leucine	19	6029.10692952506	1053378.64705882	1316723.30882353	790033.985294118	No	0.00437767839138558
QC_4.d	QC_4	11/7/23 17:45	Vial 1	Sample	0.2	0	0.056	1056775	1.189	21470.55	99.5242	Leucine	26	6029.10692952506	1053378.64705882	1316723.30882353	790033.985294118	No	0.00322424699860726
QC_5.d	QC_5	11/7/23 18:17	Vial 1	Sample	0.2	0	0.056	1053914	1.189	33515.78	99.2092	Leucine	34	6029.10692952506	1053378.64705882	1316723.30882353	790033.985294118	No	0.00050822459964531
QC_6.d	QC_6	11/7/23 19:01	Vial 1	Sample	0.2	0	0.056	1050979	1.189	24548.45	98.8863	Leucine	44	6029.10692952506	1053378.64705882	1316723.30882353	790033.985294118	No	0.00227804794175746
QC_7.d	QC_7	11/7/23 19:28	Vial 1	Sample	0.2	0	0.057	1062151	1.189	22348.48	100.1162	Leucine	51	6029.10692952506	1053378.64705882	1316723.30882353	790033.985294118	No	0.00832782491430787
QC_8.d	QC_8	11/7/23 19:56	Vial 1	Sample	0.2	0	0.057	1053128	1.194	38116.78	99.1227	Leucine	58	6029.10692952506	1053378.64705882	1316723.30882353	790033.985294118	No	0.000237945832226097
QC_9.d	QC_9	11/7/23 20:28	Vial 1	Sample	0.2	0	0.057	1056465	1.189	69836.38	99.49	Leucine	66	6029.10692952506	1053378.64705882	1316723.30882353	790033.985294118	No	0.00292995586135518
QC_10.d	QC_10	11/7/23 21:08	Vial 1	Sample	0.2	0	0.058	1053833	1.189	31964.34	99.2003	Leucine	76	6029.10692952506	1053378.64705882	1316723.30882353	790033.985294118	No	0.000431329173460088
QC_11.d	QC_11	11/7/23 21:36	Vial 1	Sample	0.2	0	0.058	1059002	1.194	23002.72	99.7693	Leucine	83	6029.10692952506	1053378.64705882	1316723.30882353	790033.985294118	No	0.00533839655557624
QC_12.d	QC_12	11/7/23 22:03	Vial 1	Sample	0.2	0	0.058	1061197	1.194	38867.51	100.0112	Leucine	90	6029.10692952506	1053378.64705882	1316723.30882353	790033.985294118	No	0.00742216767257082
QC_13.d	QC_13	11/7/23 22:35	Vial 1	Sample	0.2	0	0.059	1048248	1.194	28112.22	98.586	Leucine	98	6029.10692952506	1053378.64705882	1316723.30882353	790033.985294118	No	0.00487065792832338
QC_14.d	QC_14	11/7/23 23:19	Vial 1	Sample	0.2	0	0.058	1042974	1.194	254759.77	98.0064	Leucine	108	6029.10692952506	1053378.64705882	1316723.30882353	790033.985294118	No	0.00987740456660556
QC_15.d	QC_15	11/7/23 23:47	Vial 1	Sample	0.2	0	0.058	1040099	1.194	25045.24	97.6906	Leucine	115	6029.10692952506	1053378.64705882	1316723.30882353	790033.985294118	No	0.0126067175330563
QC_16.d	QC_16	11/8/23 0:15	Vial 1	Sample	0.2	0	0.059	1050641	1.194	8	98.8491	Leucine	122	6029.10692952506	1053378.64705882	1316723.30882353	790033.985294118	No	0.00259892021398715
QC_17.d	QC_17	11/8/23 0:47	Vial 1	Sample	0.2	0	0.059	1047918	1.194	1438936.66	98.5497	Leucine	130	6029.10692952506	1053378.64705882	1316723.30882353	790033.985294118	No	0.00518393559055946
QC_1.d	QC_1	11/7/23 16:10	Vial 1	Sample	0.2	0	0.054	273439	1.203	8	37.4178	Phenylalanine	2	6327.7553705411	266211.823529412	332764.779411765	199658.867647059	No	0.0271482174411753
QC_2.d	QC_2	11/7/23 16:49	Vial 1	Sample	0.2	0	0.055	264055	1.203	807.23	35.943	Phenylalanine	12	6327.7553705411	266211.823529412	332764.779411765	199658.867647059	No	0.00810190734888023
QC_3.d	QC_3	11/7/23 17:17	Vial 1	Sample	0.2	0	0.055	264895	1.203	8	36.0746	Phenylalanine	19	6327.7553705411	266211.823529412	332764.779411765	199658.867647059	No	0.00494652533442513
QC_4.d	QC_4	11/7/23 17:45	Vial 1	Sample	0.2	0	0.055	263908	1.203	8	35.9199	Phenylalanine	26	6327.7553705411	266211.823529412	332764.779411765	199658.867647059	No	0.00865409920140987
QC_5.d	QC_5	11/7/23 18:17	Vial 1	Sample	0.2	0	0.055	273512	1.203	913	37.4294	Phenylalanine	34	6327.7553705411	266211.823529412	332764.779411765	199658.867647059	No	0.0274224351638601
QC_6.d	QC_6	11/7/23 19:01	Vial 1	Sample	0.2	0	0.056	265549	1.203	8	36.1773	Phenylalanine	44	6327.7553705411	266211.823529412	332764.779411765	199658.867647059	No	0.00248983505174223
QC_7.d	QC_7	11/7/23 19:28	Vial 1	Sample	0.2	0	0.056	266491	1.203	948.01	36.325	Phenylalanine	51	6327.7553705411	266211.823529412	332764.779411765	199658.867647059	No	0.00104870049303955
QC_8.d	QC_8	11/7/23 19:56	Vial 1	Sample	0.2	0	0.056	253739	1.203	8	34.3307	Phenylalanine	58	6327.7553705411	266211.823529412	332764.779411765	199658.867647059	No	0.0468530036121169
QC_9.d	QC_9	11/7/23 20:28	Vial 1	Sample	0.2	0	0.056	275675	1.203	1058.75	37.7704	Phenylalanine	66	6327.7553705411	266211.823529412	332764.779411765	199658.867647059	No	0.0355475438510819
QC_10.d	QC_10	11/7/23 21:08	Vial 1	Sample	0.2	0	0.057	265538	1.203	8	36.1756	Phenylalanine	76	6327.7553705411	266211.823529412	332764.779411765	199658.867647059	No	0.00253115553050296
