Compound	Level	Data.File	Name	Acq..Date.Time	Pos.	Type	Vol.	FWHM	Area	RT	SN_ratio	Calculated_Concentration	Time	Concentration	LOD	SN_bi	Mean	Upper	Lower
AABA	0	Blasche-S3_P3-C9.d	Blasche-S3_P3-C9	11/7/23 21:32	P3-C9	Sample	0.2	0.04	6579	1.662	45.47	1.4619	82	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-C4.d	Blasche-S3_P3-C4	11/8/23 0:03	P3-C4	Sample	0.2	0.04	6502	1.662	27.88	1.4447	119	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-A8.d	Blasche-S3_P3-A8	11/7/23 21:04	P3-A8	Sample	0.2	0.04	5197	1.662	83.3	1.1536	75	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	3	std3_13.d	std3_13	11/7/23 22:51	P1-A6	Cal	1	0.039	207	1.668	4.36	0.0454	101	0.032	0.16	No	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-G10.d	Blasche-S3_P3-G10	11/7/23 21:12	P3-G10	Sample	0.2	0.039	4498	1.662	20.09	0.9978	77	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-B10.d	Blasche-S3_P3-B10	11/7/23 21:16	P3-B10	Sample	0.2	0.04	4870	1.662	70.09	1.0808	78	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-G3.d	Blasche-S3_P3-G3	11/8/23 0:30	P3-G3	Sample	0.2	0.041	5085	1.662	21.84	1.1286	126	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-D2.d	Blasche-S3_P3-D2	11/7/23 21:24	P3-D2	Sample	0.2	0.04	6309	1.662	167.27	1.4017	80	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	4	std4_17.d	std4_17	11/8/23 0:58	P1-A5	Cal	1	0.045	940	1.662	25.19	0.2072	133	0.16	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	4	std4_9.d	std4_9	11/7/23 20:40	P1-A5	Cal	1	0.042	698	1.657	9.99	0.1537	69	0.16	0.16	No	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	QC_11.d	QC_11	11/7/23 21:36	Vial 1	Sample	0.2	0.04	17287	1.662	264.36	3.8574	83	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-D3.d	Blasche-S3_P3-D3	11/7/23 21:40	P3-D3	Sample	0.2	0.039	6547	1.662	49.82	1.4547	84	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-G4.d	Blasche-S3_P3-G4	11/7/23 21:44	P3-G4	Sample	0.2	0.04	5154	1.662	38.53	1.144	85	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-H6.d	Blasche-S3_P3-H6	11/7/23 21:48	P3-H6	Sample	0.2	0.04	5106	1.662	67.16	1.1334	86	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	6	std6_1.d	std6_1	11/7/23 16:17	P1-A3	Cal	1	0.042	18627	1.657	177.25	4.1578	4	4	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	7	std7_13.d	std7_13	11/7/23 22:43	P1-A2	Cal	1	0.044	88410	1.662	1606.41	19.8671	99	20	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	QC_4.d	QC_4	11/7/23 17:45	Vial 1	Sample	0.2	0.039	15987	1.662	332.73	3.5662	26	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-G1.d	Blasche-S3_P3-G1	11/7/23 17:49	P3-G1	Sample	0.2	0.039	4985	1.662	16.73	1.1065	27	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	QC_10.d	QC_10	11/7/23 21:08	Vial 1	Sample	0.2	0.04	17397	1.662	236.68	3.882	76	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-F2.d	Blasche-S3_P3-F2	11/7/23 21:20	P3-F2	Sample	0.2	0.04	5661	1.662	110.57	1.2572	79	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	4	std4_1.d	std4_1	11/7/23 16:21	P1-A5	Cal	1	0.038	861	1.657	14.49	0.1896	5	0.16	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-B5.d	Blasche-S3_P3-B5	11/7/23 19:20	P3-B5	Sample	0.2	0.039	4262	1.662	122.5	0.9453	49	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-A7.d	Blasche-S3_P3-A7	11/7/23 19:24	P3-A7	Sample	0.2	0.039	4851	1.662	52.93	1.0764	50	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	5	std5_13.d	std5_13	11/7/23 22:47	P1-A4	Cal	1	0.043	3720	1.657	69.93	0.8245	100	0.8	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	5	std5_5.d	std5_5	11/7/23 18:29	P1-A4	Cal	1	0.043	3319	1.657	64.15	0.7354	36	0.8	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	6	std6_17.d	std6_17	11/8/23 0:55	P1-A3	Cal	1	0.044	18267	1.662	225.6	4.077	132	4	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	6	std6_9.d	std6_9	11/7/23 20:36	P1-A3	Cal	1	0.043	18260	1.657	1451.4	4.0755	68	4	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-D11.d	Blasche-S3_P3-D11	11/7/23 20:56	P3-D11	Sample	0.2	0.04	7314	1.662	133.22	1.6259	73	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-H2.d	Blasche-S3_P3-H2	11/7/23 21:00	P3-H2	Sample	0.2	0.04	4585	1.662	117.34	1.0173	74	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-B4.d	Blasche-S3_P3-B4	11/7/23 23:59	P3-B4	Sample	0.2	0.041	5511	1.662	70.3	1.2238	118	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-A5.d	Blasche-S3_P3-A5	11/7/23 23:55	P3-A5	Sample	0.2	0.04	5362	1.662	137.1	1.1903	117	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-H8.d	Blasche-S3_P3-H8	11/7/23 21:59	P3-H8	Sample	0.2	0.04	5056	1.662	92.62	1.1222	89	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	3	std3_5.d	std3_5	11/7/23 18:33	P1-A6	Cal	1	0.122	299	1.662	2.48	0.0657	37	0.032	0.16	No	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-B1.d	Blasche-S3_P3-B1	11/7/23 22:07	P3-B1	Sample	0.2	0.04	6798	1.662	109.16	1.5107	91	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-G12.d	Blasche-S3_P3-G12	11/7/23 19:16	P3-G12	Sample	0.2	0.038	4444	1.662	64.46	0.9858	48	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-D6.d	Blasche-S3_P3-D6	11/7/23 22:11	P3-D6	Sample	0.2	0.041	6582	1.662	76.6	1.4625	92	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-E3.d	Blasche-S3_P3-E3	11/7/23 17:57	P3-E3	Sample	0.2	0.039	5630	1.662	46.72	1.2501	29	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-G8.d	Blasche-S3_P3-G8	11/7/23 18:01	P3-G8	Sample	0.2	0.039	4413	1.662	65.64	0.979	30	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-F4.d	Blasche-S3_P3-F4	11/7/23 18:05	P3-F4	Sample	0.2	0.04	5682	1.662	69.01	1.2618	31	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-H1.d	Blasche-S3_P3-H1	11/7/23 18:09	P3-H1	Sample	0.2	0.038	4328	1.662	36.12	0.96	32	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	QC_5.d	QC_5	11/7/23 18:17	Vial 1	Sample	0.2	0.04	17702	1.662	1079.52	3.9503	34	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-A10.d	Blasche-S3_P3-A10	11/7/23 18:37	P3-A10	Sample	0.2	0.039	4962	1.662	65.82	1.1012	38	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-D5.d	Blasche-S3_P3-D5	11/7/23 18:41	P3-D5	Sample	0.2	0.04	6580	1.662	148.24	1.4621	39	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-B11.d	Blasche-S3_P3-B11	11/7/23 21:55	P3-B11	Sample	0.2	0.04	4910	1.662	30.63	1.0897	88	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-A6.d	Blasche-S3_P3-A6	11/7/23 18:45	P3-A6	Sample	0.2	0.039	4646	1.662	54.1	1.0308	40	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-G11.d	Blasche-S3_P3-G11	11/7/23 17:53	P3-G11	Sample	0.2	0.039	4675	1.662	59.01	1.0373	28	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	8	std8_17.d	std8_17	11/8/23 0:51	P1-A1	Cal	1	0.051	441285	1.662	11801.21	99.8535	131	100	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	8	std8_9.d	std8_9	11/7/23 20:32	P1-A1	Cal	1	0.052	442040	1.662	4987.75	100.0251	67	100	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	8	std8_1.d	std8_1	11/7/23 16:14	P1-A1	Cal	1	0.052	442904	1.662	3998.34	100.2214	3	100	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-D4.d	Blasche-S3_P3-D4	11/7/23 22:15	P3-D4	Sample	0.2	0.04	6656	1.662	168.18	1.479	93	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	QC_7.d	QC_7	11/7/23 19:28	Vial 1	Sample	0.2	0.04	17342	1.662	95.72	3.8697	51	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-E5.d	Blasche-S3_P3-E5	11/7/23 19:32	P3-E5	Sample	0.2	0.038	5434	1.662	31.6	1.2066	52	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-C8.d	Blasche-S3_P3-C8	11/7/23 19:36	P3-C8	Sample	0.2	0.039	6155	1.662	192.59	1.3673	53	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-F3.d	Blasche-S3_P3-F3	11/7/23 20:52	P3-F3	Sample	0.2	0.04	5441	1.662	136.25	1.2081	72	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-F7.d	Blasche-S3_P3-F7	11/7/23 20:48	P3-F7	Sample	0.2	0.04	5620	1.662	192.55	1.2479	71	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-H12.d	Blasche-S3_P3-H12	11/7/23 17:37	P3-H12	Sample	0.2	0.038	5062	1.662	29.98	1.1236	24	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-H11.d	Blasche-S3_P3-H11	11/7/23 17:41	P3-H11	Sample	0.2	0.038	4936	1.662	23.67	1.0954	25	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-E11.d	Blasche-S3_P3-E11	11/7/23 19:52	P3-E11	Sample	0.2	0.039	5425	1.662	66.19	1.2045	57	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	QC_12.d	QC_12	11/7/23 22:03	Vial 1	Sample	0.2	0.04	16613	1.662	45.63	3.7064	90	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-G5.d	Blasche-S3_P3-G5	11/7/23 16:57	P3-G5	Sample	0.2	0.038	4981	1.662	41.79	1.1056	14	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-D10.d	Blasche-S3_P3-D10	11/7/23 17:01	P3-D10	Sample	0.2	0.039	6664	1.662	142.86	1.4809	15	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-C1.d	Blasche-S3_P3-C1	11/7/23 17:05	P3-C1	Sample	0.2	0.038	6484	1.662	269.24	1.4407	16	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	h2o_blank_1.d	h2o_blank_1	11/7/23 16:05	P1-B1	Blank	0.2	0.036	112	1.683	5.06	0	1	1e-04	0.16	No	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	QC_1.d	QC_1	11/7/23 16:10	Vial 1	Sample	0.2	0.039	17284	1.662	357.29	3.8568	2	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-E10.d	Blasche-S3_P3-E10	11/7/23 16:25	P3-E10	Sample	0.2	0.04	6482	1.662	65.63	1.4403	6	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-E12.d	Blasche-S3_P3-E12	11/7/23 16:30	P3-E12	Sample	0.2	0.038	5141	1.662	35.77	1.1412	7	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-H5.d	Blasche-S3_P3-H5	11/7/23 16:34	P3-H5	Sample	0.2	0.039	5087	1.662	57.03	1.1292	8	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-F9.d	Blasche-S3_P3-F9	11/7/23 19:40	P3-F9	Sample	0.2	0.04	5198	1.662	92.04	1.1538	54	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-G7.d	Blasche-S3_P3-G7	11/7/23 19:44	P3-G7	Sample	0.2	0.04	4884	1.662	43.06	1.0839	55	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-A3.d	Blasche-S3_P3-A3	11/7/23 19:48	P3-A3	Sample	0.2	0.041	5657	1.662	51.63	1.2563	56	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-E1.d	Blasche-S3_P3-E1	11/7/23 23:51	P3-E1	Sample	0.2	0.041	5900	1.662	57.84	1.3105	116	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	7	std7_5.d	std7_5	11/7/23 18:25	P1-A2	Cal	1	0.044	89118	1.657	3428.94	20.0267	35	20	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-F6.d	Blasche-S3_P3-F6	11/7/23 23:03	P3-F6	Sample	0.2	0.041	5964	1.662	81.97	1.3248	104	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-H3.d	Blasche-S3_P3-H3	11/7/23 18:49	P3-H3	Sample	0.2	0.038	4730	1.662	21	1.0495	41	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-E8.d	Blasche-S3_P3-E8	11/7/23 18:53	P3-E8	Sample	0.2	0.039	5713	1.662	62.36	1.2687	42	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-F12.d	Blasche-S3_P3-F12	11/7/23 17:09	P3-F12	Sample	0.2	0.04	5771	1.662	25.76	1.2816	17	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-G2.d	Blasche-S3_P3-G2	11/7/23 20:12	P3-G2	Sample	0.2	0.04	5237	1.662	85.04	1.1625	62	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-G6.d	Blasche-S3_P3-G6	11/7/23 20:16	P3-G6	Sample	0.2	0.04	4874	1.662	40.47	1.0817	63	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-A9.d	Blasche-S3_P3-A9	11/7/23 20:20	P3-A9	Sample	0.2	0.039	5447	1.662	83.07	1.2095	64	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	QC_9.d	QC_9	11/7/23 20:28	Vial 1	Sample	0.2	0.04	17934	1.662	166.24	4.0024	66	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-D1.d	Blasche-S3_P3-D1	11/7/23 20:44	P3-D1	Sample	0.2	0.04	6781	1.662	89.32	1.5071	70	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-B7.d	Blasche-S3_P3-B7	11/7/23 17:33	P3-B7	Sample	0.2	0.039	4698	1.662	114.04	1.0424	23	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	QC_15.d	QC_15	11/7/23 23:47	Vial 1	Sample	0.2	0.041	15756	1.662	272.9	3.5143	115	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-B12.d	Blasche-S3_P3-B12	11/7/23 22:55	P3-B12	Sample	0.2	0.04	4928	1.668	80.13	1.0937	102	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-B3.d	Blasche-S3_P3-B3	11/7/23 22:59	P3-B3	Sample	0.2	0.04	4375	1.662	77.43	0.9705	103	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-A4.d	Blasche-S3_P3-A4	11/7/23 16:45	P3-A4	Sample	0.2	0.039	4652	1.662	37.64	1.0322	11	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-E9.d	Blasche-S3_P3-E9	11/7/23 23:07	P3-E9	Sample	0.2	0.042	5588	1.662	21.21	1.2407	105	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	QC_8.d	QC_8	11/7/23 19:56	Vial 1	Sample	0.2	0.04	17911	1.662	247.34	3.9972	58	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-H7.d	Blasche-S3_P3-H7	11/7/23 18:57	P3-H7	Sample	0.2	0.038	5173	1.662	120.04	1.1483	43	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-C7.d	Blasche-S3_P3-C7	11/7/23 19:09	P3-C7	Sample	0.2	0.04	6983	1.662	61.03	1.5521	46	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-E6.d	Blasche-S3_P3-E6	11/7/23 19:13	P3-E6	Sample	0.2	0.038	5507	1.662	95.35	1.2227	47	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	h2o_blank_5.d	h2o_blank_5	11/7/23 18:13	P1-B1	Blank	0.2	0.035	41	1.662	0.38	0	33	1e-04	0.16	No	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-D8.d	Blasche-S3_P3-D8	11/7/23 22:19	P3-D8	Sample	0.2	0.04	6627	1.662	139.17	1.4727	94	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-B2.d	Blasche-S3_P3-B2	11/7/23 22:23	P3-B2	Sample	0.2	0.041	5323	1.662	103.94	1.1818	95	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-H4.d	Blasche-S3_P3-H4	11/7/23 22:27	P3-H4	Sample	0.2	0.041	4928	1.662	29.35	1.0937	96	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	QC_13.d	QC_13	11/7/23 22:35	Vial 1	Sample	0.2	0.041	17309	1.662	450.04	3.8624	98	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-E7.d	Blasche-S3_P3-E7	11/7/23 16:38	P3-E7	Sample	0.2	0.038	5534	1.662	90.69	1.2287	9	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-C6.d	Blasche-S3_P3-C6	11/7/23 16:42	P3-C6	Sample	0.2	0.039	6482	1.662	72.63	1.4404	10	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-G9.d	Blasche-S3_P3-G9	11/7/23 20:04	P3-G9	Sample	0.2	0.039	4955	1.662	37.08	1.0996	60	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	QC_2.d	QC_2	11/7/23 16:49	Vial 1	Sample	0.2	0.039	17561	1.662	46.04	3.9187	12	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-H10.d	Blasche-S3_P3-H10	11/7/23 16:53	P3-H10	Sample	0.2	0.038	4905	1.662	92	1.0885	13	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-B9.d	Blasche-S3_P3-B9	11/7/23 20:00	P3-B9	Sample	0.2	0.04	4902	1.662	112.86	1.088	59	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-F11.d	Blasche-S3_P3-F11	11/7/23 17:25	P3-F11	Sample	0.2	0.038	5232	1.662	64.2	1.1616	21	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-C5.d	Blasche-S3_P3-C5	11/7/23 17:13	P3-C5	Sample	0.2	0.038	5945	1.662	52.35	1.3204	18	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	QC_3.d	QC_3	11/7/23 17:17	Vial 1	Sample	0.2	0.039	16429	1.662	252.38	3.6652	19	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-C3.d	Blasche-S3_P3-C3	11/7/23 17:21	P3-C3	Sample	0.2	0.039	6181	1.662	59.15	1.3731	20	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-D9.d	Blasche-S3_P3-D9	11/7/23 23:11	P3-D9	Sample	0.2	0.04	7151	1.662	48.55	1.5896	106	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-D7.d	Blasche-S3_P3-D7	11/7/23 17:29	P3-D7	Sample	0.2	0.039	6018	1.662	145.14	1.3367	22	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-F10.d	Blasche-S3_P3-F10	11/7/23 23:43	P3-F10	Sample	0.2	0.04	5714	1.662	73.14	1.2689	114	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-C12.d	Blasche-S3_P3-C12	11/7/23 23:39	P3-C12	Sample	0.2	0.041	7320	1.662	80.78	1.6274	113	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-F5.d	Blasche-S3_P3-F5	11/7/23 23:23	P3-F5	Sample	0.2	0.04	5776	1.662	90.5	1.2827	109	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-B6.d	Blasche-S3_P3-B6	11/7/23 23:15	P3-B6	Sample	0.2	0.041	4710	1.662	60.83	1.0451	107	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
